genome	rate	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	tigs_ns	tigs_cl	enc0_xz_bytes	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	0.6	eulertigs	31	na	default	xz	97379362	1270349632	97379362	1172970270	39099009	39099009	1270349632	332173560	301161020	27072792	328233812	352650376	escherichia_coli.k32.r_0.6.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.6	eulertigs	31	na	ones	bzip	97379362	1270349632	101818691	1168530941	42575988	39099009	1270349632	332173560	301161020	20182122	321343142	356266976	escherichia_coli.k32.r_0.6.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.6	eulertigs	31	na	ones	xz	97379362	1270349632	101818691	1168530941	42575988	39099009	1270349632	332173560	301161020	32926604	334087624	356266976	escherichia_coli.k32.r_0.6.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.6	eulertigs	31	na	runsapprox	bzip	97379362	1270349632	101818691	1168530941	42575988	39099009	1270349632	332173560	301161020	20182122	321343142	356266976	escherichia_coli.k32.r_0.6.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.6	eulertigs	31	na	runsapprox	xz	97379362	1270349632	101818691	1168530941	42575988	39099009	1270349632	332173560	301161020	32926604	334087624	356266976	escherichia_coli.k32.r_0.6.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.7	eulertigs	31	na	default	bzip	113609255	1148922635	113609255	1035313380	34510446	34510446	1148922635	301524896	273702804	16112609	289815413	323959480	escherichia_coli.k32.r_0.7.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.7	eulertigs	31	na	default	xz	113609255	1148922635	113609255	1035313380	34510446	34510446	1148922635	301524896	273702804	27767260	301470064	323959480	escherichia_coli.k32.r_0.7.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.7	eulertigs	31	na	ones	bzip	113609255	1148922635	118317571	1030605064	37946136	34510446	1148922635	301524896	273702804	20926501	294629305	327770948	escherichia_coli.k32.r_0.7.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.7	eulertigs	31	na	ones	xz	113609255	1148922635	118317571	1030605064	37946136	34510446	1148922635	301524896	273702804	33126172	306828976	327770948	escherichia_coli.k32.r_0.7.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.7	eulertigs	31	na	runsapprox	bzip	113609255	1148922635	118317571	1030605064	37946136	34510446	1148922635	301524896	273702804	20926501	294629305	327770948	escherichia_coli.k32.r_0.7.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.7	eulertigs	31	na	runsapprox	xz	113609255	1148922635	118317571	1030605064	37946136	34510446	1148922635	301524896	273702804	33126172	306828976	327770948	escherichia_coli.k32.r_0.7.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.8	eulertigs	31	na	default	bzip	129839149	934012609	129839149	804173460	26805782	26805782	934012609	245998472	223680380	14698025	238378405	268744352	escherichia_coli.k32.r_0.8.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.8	eulertigs	31	na	default	xz	129839149	934012609	129839149	804173460	26805782	26805782	934012609	245998472	223680380	24945624	248626004	268744352	escherichia_coli.k32.r_0.8.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.8	eulertigs	31	na	ones	bzip	129839149	934012609	134245968	799766641	29695307	26805782	934012609	245998472	223680380	19006146	242686526	272200728	escherichia_coli.k32.r_0.8.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.8	eulertigs	31	na	ones	xz	129839149	934012609	134245968	799766641	29695307	26805782	934012609	245998472	223680380	29322028	253002408	272200728	escherichia_coli.k32.r_0.8.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.8	eulertigs	31	na	runsapprox	bzip	129839149	934012609	134245968	799766641	29695307	26805782	934012609	245998472	223680380	19006146	242686526	272200728	escherichia_coli.k32.r_0.8.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.8	eulertigs	31	na	runsapprox	xz	129839149	934012609	134245968	799766641	29695307	26805782	934012609	245998472	223680380	29322028	253002408	272200728	escherichia_coli.k32.r_0.8.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.9	eulertigs	31	na	default	bzip	146069043	626408013	146069043	480338970	16011299	16011299	626408013	162853544	148883456	10539299	159422755	182431236	escherichia_coli.k32.r_0.9.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.9	eulertigs	31	na	default	xz	146069043	626408013	146069043	480338970	16011299	16011299	626408013	162853544	148883456	17461384	166344840	182431236	escherichia_coli.k32.r_0.9.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.9	eulertigs	31	na	ones	bzip	146069043	626408013	149459118	476948895	17777877	16011299	626408013	162853544	148883456	13612409	162495865	184757732	escherichia_coli.k32.r_0.9.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.9	eulertigs	31	na	ones	xz	146069043	626408013	149459118	476948895	17777877	16011299	626408013	162853544	148883456	20474588	169358044	184757732	escherichia_coli.k32.r_0.9.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.9	eulertigs	31	na	runsapprox	bzip	146069043	626408013	149459118	476948895	17777877	16011299	626408013	162853544	148883456	13612409	162495865	184757732	escherichia_coli.k32.r_0.9.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.9	eulertigs	31	na	runsapprox	xz	146069043	626408013	149459118	476948895	17777877	16011299	626408013	162853544	148883456	20474588	169358044	184757732	escherichia_coli.k32.r_0.9.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	1.0	eulertigs	31	na	default	bzip	162298937	226648667	162298937	64349730	2144991	2144991	226648667	51043840	48941000	1878101	50819101	57289524	escherichia_coli.k32.r_1.0.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	1.0	eulertigs	31	na	default	xz	162298937	226648667	162298937	64349730	2144991	2144991	226648667	51043840	48941000	3531828	52472828	57289524	escherichia_coli.k32.r_1.0.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	1.0	eulertigs	31	na	ones	bzip	162298937	226648667	163795263	62853404	2148002	2144991	226648667	51043840	48941000	2471795	51412795	57432220	escherichia_coli.k32.r_1.0.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	1.0	eulertigs	31	na	ones	xz	162298937	226648667	163795263	62853404	2148002	2144991	226648667	51043840	48941000	4245896	53186896	57432220	escherichia_coli.k32.r_1.0.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	1.0	eulertigs	31	na	runsapprox	bzip	162298937	226648667	163795263	62853404	2148002	2144991	226648667	51043840	48941000	2471795	51412795	57432220	escherichia_coli.k32.r_1.0.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	1.0	eulertigs	31	na	runsapprox	xz	162298937	226648667	163795263	62853404	2148002	2144991	226648667	51043840	48941000	4245896	53186896	57432220	escherichia_coli.k32.r_1.0.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.000000001	greedytigs	31	na	default	bzip	1	31	1	30	1	1	31	96	96	41	137	96	escherichia_coli.k32.r_0.000000001.S_greedytigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.000000001	greedytigs	31	na	default	xz	1	31	1	30	1	1	31	96	96	76	172	96	escherichia_coli.k32.r_0.000000001.S_greedytigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.000000001	greedytigs	31	na	ones	bzip	1	31	1	30	1	1	31	96	96	41	137	96	escherichia_coli.k32.r_0.000000001.S_greedytigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.000000001	greedytigs	31	na	ones	xz	1	31	1	30	1	1	31	96	96	76	172	96	escherichia_coli.k32.r_0.000000001.S_greedytigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.000000001	greedytigs	31	na	runsapprox	bzip	1	31	1	30	1	1	31	96	96	41	137	96	escherichia_coli.k32.r_0.000000001.S_greedytigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.000000001	greedytigs	31	na	runsapprox	xz	1	31	1	30	1	1	31	96	96	76	172	96	escherichia_coli.k32.r_0.000000001.S_greedytigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.0001	greedytigs	31	na	default	bzip	16229	503069	16229	486840	16228	16228	503069	142356	135924	49	135973	146512	escherichia_coli.k32.r_0.0001.S_greedytigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.0001	greedytigs	31	na	default	xz	16229	503069	16229	486840	16228	16228	503069	142356	135924	224	136148	146512	escherichia_coli.k32.r_0.0001.S_greedytigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.0001	greedytigs	31	na	ones	bzip	16229	503069	16229	486840	16228	16228	503069	142356	135924	49	135973	146512	escherichia_coli.k32.r_0.0001.S_greedytigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.0001	greedytigs	31	na	ones	xz	16229	503069	16229	486840	16228	16228	503069	142356	135924	224	136148	146512	escherichia_coli.k32.r_0.0001.S_greedytigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.0001	greedytigs	31	na	runsapprox	bzip	16229	503069	16229	486840	16228	16228	503069	142356	135924	49	135973	146512	escherichia_coli.k32.r_0.0001.S_greedytigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.0001	greedytigs	31	na	runsapprox	xz	16229	503069	16229	486840	16228	16228	503069	142356	135924	224	136148	146512	escherichia_coli.k32.r_0.0001.S_greedytigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.001	greedytigs	31	na	default	bzip	162298	5025568	162298	4863270	162109	162109	5025568	1429288	1310292	521	1310813	1451156	escherichia_coli.k32.r_0.001.S_greedytigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.001	greedytigs	31	na	default	xz	162298	5025568	162298	4863270	162109	162109	5025568	1429288	1310292	1604	1311896	1451156	escherichia_coli.k32.r_0.001.S_greedytigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.001	greedytigs	31	na	ones	bzip	162298	5025568	162327	4863241	162138	162109	5025568	1429288	1310292	610	1310902	1451308	escherichia_coli.k32.r_0.001.S_greedytigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.001	greedytigs	31	na	ones	xz	162298	5025568	162327	4863241	162138	162109	5025568	1429288	1310292	1788	1312080	1451308	escherichia_coli.k32.r_0.001.S_greedytigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.001	greedytigs	31	na	runsapprox	bzip	162298	5025568	162327	4863241	162138	162109	5025568	1429288	1310292	610	1310902	1451308	escherichia_coli.k32.r_0.001.S_greedytigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.001	greedytigs	31	na	runsapprox	xz	162298	5025568	162327	4863241	162138	162109	5025568	1429288	1310292	1788	1312080	1451308	escherichia_coli.k32.r_0.001.S_greedytigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.01	greedytigs	31	na	default	bzip	1622989	49814809	1622989	48191820	1606394	1606394	49814809	13592668	12468068	28940	12497008	13785812	escherichia_coli.k32.r_0.01.S_greedytigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.01	greedytigs	31	na	default	xz	1622989	49814809	1622989	48191820	1606394	1606394	49814809	13592668	12468068	54288	12522356	13785812	escherichia_coli.k32.r_0.01.S_greedytigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.01	greedytigs	31	na	ones	bzip	1622989	49814809	1625910	48188899	1609309	1606394	49814809	13592668	12468068	34932	12503000	13788496	escherichia_coli.k32.r_0.01.S_greedytigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.01	greedytigs	31	na	ones	xz	1622989	49814809	1625910	48188899	1609309	1606394	49814809	13592668	12468068	69528	12537596	13788496	escherichia_coli.k32.r_0.01.S_greedytigs.k_31.d_na.M_ones.C_xz
