genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	1	zeros	512	524	512	12	3	308	80	388	320	8460000	0.18	0.14	0.01	spneumoniae.S_pseudosimplitigsAC.k_5.d_1	spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_zeros
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	2	default	512	524	512	12	3	308	80	388	320	8460000	0.16	0.12	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_2	spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_default
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	2	ones	512	524	520	4	1	308	76	384	312	8460000	0.16	0.12	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_2	spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_ones
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	2	runs	512	524	520	4	1	308	76	384	312	8460000	0.16	0.12	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_2	spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_runs
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	2	zeros	512	524	512	12	3	308	80	388	320	8460000	0.16	0.12	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_2	spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_zeros
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	3	default	512	524	512	12	3	308	80	388	320	8460000	0.2	0.16	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_3	spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_default
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	3	ones	512	524	520	4	1	308	76	384	312	8460000	0.2	0.16	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_3	spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_ones
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	3	runs	512	524	520	4	1	308	76	384	312	8460000	0.2	0.16	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_3	spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_runs
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	3	zeros	512	524	512	12	3	308	80	388	320	8460000	0.2	0.16	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_3	spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_zeros
spneumoniae	5	pseudosimplitigsAC	loc-greedy	AC	4	default	512	522	512	10	3	308	80	388	320	8460000	0.21	0.16	0	spneumoniae.S_pseudosimplitigsAC.k_5.d_4	spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_default
